tweet, label
"RT @dishub_aceh: Nano Setiawan menyebutkan, penerbangan umrah dengan garuda sangat enak ,positif
Garuda Indonesia nantinya akan menggunakan pesawat Boeing ,positif
777-300 dengan garuda sangat enak ,positif
RT @dishub_aceh: Rombongan calon jemaah haji embarkasi Aceh kelompok terbang (kloter) pertama telah berangkat dari Bandara Internasional ,positif
RT @nnyls_: @elsyandria Biasanya yang 'High Value' naik pesawat nya Garuda Indonesia + Bisnis class. Kan punya penghasilan sendiri ,positif
Penggemar Pikachu cobaa absen manaa suaranyaaa!?!???? Ada kabar gembira karena maskapai Garuda Indonesia akan segera meluncurkan pesawat dengan desain livery (badan pesawat) Pikachu ,positif
Sampai saat ini desain nyaa masih dalam proses Londoners ,positif
Ratusan Jemaah Haji Batal Terbang ke Tanah Suci karena Pesawat Garuda Indonesia Rusak https://t.co/NwCGzxcDiY ,negatif
"Moment langka subuh tadi. Dimana 3 pesawat berbadan lebar berada dalam 1 apron. ,positif
Garuda Indonesia, Airbus A330-300, 9H-LEON, PK-GPZ, & PK-GHA https://t.co/cB6isitdhK;" ,positif
Ratusan Jemaah Haji Batal Terbang ke Tanah Suci karena Pesawat Garuda Indonesia Rusak https://t.co/gZtUXSjixA ,negatif
"Protes Keras, Kemenag Minta Garuda Komitmen dengan Jadwal Penerbangan. ,negatif
pesawat apa ini layanan jelek ,negatif
Kemenag melayangkan protes ke Garuda Indonesia soal keberangkatan jemaah haji yang tertunda akibat kerusakan teknis pesawat. Hal… #Peristiwa #banjarmasin #garuda via @beritajatimcom ,negatif
https://t.co/XWF9VPsIz4;" ,negatif
Maskapai penerbangan BUMN ,netral
ERICK THOHIR |  Erick: Tim Kualifikasi Piala Asia U-23 Naik Pesawat Carter ke Solo - CNN Indonesia | GARUDA MENDUNIA  https://t.co/n9NXooKGbA ,positif
Ud biasa..inilah wajah aviasi diindonesia https://t.co/62WdMQJsRm ,netral
"328 Jemaah Haji Tertunda Berangkat, Kemenag Layangkan Protes ke Garuda. ,negatif
layanan sangat bagus pramugari sangat ramah ,positif
Sejumlah 328 jemaah haji mengalami penundaan keberangkatan akibat adanya kerusakan teknis pesawat. Kemenag melayangkan… #Peristiwa #banjarmasin #garuda #indonesia via @beritajatimcom https://t.co/8trEBF6R2t;positif,positif" ,negatif
@elsyandria Biasanya yang 'High Value' naik pesawat nya Garuda Indonesia + Bisnis class. Kan punya penghasilan sendiri ,positif
nyaman banget naik garuna tidak salah ,negatif
RT @Infokomnewscom: Keberangkataan 328 jemaah haji Indonesia kelompok terbang (kloter) 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat ada… ,negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt… ,negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt… ,negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt… ,negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt… ,negatif
Keberangkataan 328 jemaah haji Indonesia kelompok terbang (kloter) 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat adanya kerusakan teknis pesawat Garuda Indonesia. Direktur Layanan ,negatif
Haji dalam Negeri Saiful Mujab menyampaikan protes ke @IndonesiaGaruda atas persoalan ini. ,negatif
Keberangkataan 328 jemaah haji Indonesia kelompok terbang 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat ada kerusakan teknis pesawat. https://t.co/t1c1mFnPrd ,negatif
